Ward;Region;Registered Voters 2011;Registered Voters 2016;Registered Voters 2021;Turnout 20211;Turnout 2016;Turnout 2021;DA Ward Vote 2011;DA Ward Vote 2016;DA Ward Vote 2021;DA PR Vote 2011;DA PR Vote 2016;DA PR Vote 2021;ANC Ward Vote 2011;ANC Ward Vote 2016;ANC Ward Vote 2021;ANC PR Vote 2011;ANC PR Vote 2016;ANC PR Vote 2021;EFF Ward Vote 2011;EFF Ward Vote 2016;EFF Ward Vote 2021;EFF PR Vote 2011;EFF PR Vote 2016;EFF PR Vote 2021;ASA Ward Vote 2011;ASA Ward Vote 2016;ASA Ward Vote 2021;ASA PR Vote 2011;ASA PR Vote 2016;ASA PR Vote 2021;VF Plus Ward Vote 2011;VF Plus Ward Vote 2016;VF Plus Ward Vote 2021;VF Plus PR Vote 2011;VF Plus PR Vote 2016;VF Plus PR Vote 2021;Ward Status (LRW/MW/SW)
1;3;13 942;14 831;16561;9 231;9490;8191;7861;7752;5193;7857;7776;5135;646;653;430;661;668;468;-;206;156;-;186;177;-;-;305;-;-;369;549;745;1772;514;703;1628;
2;1;11 607;14 620;15964;7 899;9808;8068;6523;7972;4906;6528;7984;4811;737;703;507;799;721;549;-;302;314;-;302;304;-;-;375;-;-;459;385;612;1592;359;597;1632;
3;3;13 607;15 734;16187;6 702;8662;5208;3077;3657;1144;3102;3654;1210;3012;3120;1537;3047;3162;1567;-;1473;904;-;1439;845;-;-;690;-;-;821;145;169;189;150;170;205;
4;1;14 364;16 012;17491;7 152;9606;7742;2927;3634;1202;2923;3435;1100;3700;3350;2338;3752;3390;2325;-;2215;1331;-;2112;1232;-;-;2030;-;-;2280;152;171;221;125;148;398;
5;2;13 155;16 747;15496;9 415;12165;9196;7908;9865;5532;7939;9785;5498;829;938;549;856;925;564;-;453;319;-;498;284;-;-;471;-;-;575;455;695;1980;417;655;1919;
6;6;10 289;12 527;14080;5 476;6859;5769;216;653;264;259;694;243;4899;4651;3571;4961;4879;3491;-;940;753;-;1007;734;-;-;494;-;-;616;1;2;11;0;3;6;
7;3;12 149;13 382;15779;6 444;7849;7072;1518;1547;582;1640;1590;642;4264;4138;2856;4303;4182;3464;-;0;1199;-;1811;1304;-;-;698;-;-;1000;276;39;43;195;33;43;
8;2;12 169;13 022;12938;6 503;6992;5120;257;793;327;326;794;352;4545;5053;3125;5678;5065;3321;-;820;659;-;818;689;-;-;215;-;-;291;14;15;4;5;10;1;
9;1;14 518;12 880;12245;9 099;7477;4736;290;441;271;276;426;271;8053;6059;3152;8215;6109;3201;-;608;777;-;597;671;-;-;62;-;-;78;14;4;4;3;4;7;
10;6;11 652;16 238;13002;5 369;7711;4400;130;594;146;177;610;170;2893;4511;1959;4200;4578;2383;-;2112;1145;-;2091;1162;-;-;209;-;-;262;0;3;10;2;1;11;
11;1;10 874;13 903;12533;6 257;7813;5093;252;651;199;238;517;224;5674;5628;3423;5715;5565;3326;-;1115;712;-;1085;706;-;-;317;-;-;365;1;2;5;1;1;4;
12;1;13 046;11 957;12175;6 044;5940;4381;359;683;222;324;674;212;5219;4047;2509;5326;4107;2669;-;975;632;-;931;609;-;-;257;-;-;350;4;0;11;3;12;9;
13;2;10 603;12 984;13557;6 090;7428;5808;360;776;364;314;798;355;5489;5429;3526;5585;5562;3743;-;790;914;-;805;920;-;-;190;-;-;203;6;8;4;2;5;4;
14;2;11 123;13 399;12653;6 609;7524;5134;492;807;194;431;786;321;5728;5495;2535;5929;5531;3436;-;964;354;-;935;481;-;-;116;-;-;199;3;5;3;0;3;3;
15;6;12 332;17 138;14077;6 707;9837;6284;450;790;402;485;788;360;5705;6810;3871;5883;6753;3881;-;1557;1024;-;1657;965;-;-;475;-;-;536;1;8;21;0;5;21;
16;6;12 652;13 757;14696;6 469;7691;6341;577;896;274;550;895;253;5455;5366;3864;5675;5432;3982;-;1285;919;-;1214;875;-;-;594;-;-;687;1;2;14;0;3;7;
17;6;14 505;13 589;14907;7 467;6633;5654;765;717;213;809;698;221;5607;4380;3097;6025;4369;3604;-;1327;906;-;1312;885;-;-;268;-;-;381;1;4;2;0;2;4;
18;6;12 497;13 171;14945;6 675;7481;6409;356;965;272;414;978;248;5634;4903;4114;5940;4919;3998;-;1404;860;-;1357;762;-;-;737;-;-;852;3;3;8;5;2;9;
