;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Results Summary - All Ballots;;;;;;;;;;;;;;
;;;;;;;Printed on: 2016/08/11 16:49:53;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Electoral Event:;;;;LOCAL GOVERNMENT ELECTION 2016;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Province:;;;;Gauteng;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Municipality:;;;;TSH - Tshwane Metro;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Ward:;;;;All Wards;;;;;;;;;;
;;;;;;Voting District:;;;;All Voting Districts;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Party Name;;;Ward;;;;PR ;;;"Total 
(Ward + PR)";;;;DC 40%;;"Total - All Ballots
(Ward + PR + DC 40%)";;;
;;;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";"Total 
Valid 
Votes";"% Total
Valid 
Votes";;
;AFRICAN CHRISTIAN ALLIANCE-AFRIKANER CHRISTEN ALLIANSIE;;;561;0,06%;;;654;0,07%;;1 215;0,07%;;;-;-;1 215;0,07%;;
;AFRICAN CHRISTIAN DEMOCRATIC PARTY;;;4 553;0,52%;;;4 168;0,47%;;8 721;0,49%;;;-;-;8 721;0,49%;;
;AFRICAN MANDATE CONGRESS;;;504;0,06%;;;786;0,09%;;1 290;0,07%;;;-;-;1 290;0,07%;;
;AFRICAN NATIONAL CONGRESS;;;361 950;41,02%;;;366 702;41,48%;;728 652;41,25%;;;-;-;728 652;41,25%;;
;AFRICAN PEOPLE'S CONVENTION;;;417;0,05%;;;2 151;0,24%;;2 568;0,15%;;;-;-;2 568;0,15%;;
;AFRICAN PEOPLE'S SOCIALIST PARTY;;;251;0,03%;;;164;0,02%;;415;0,02%;;;-;-;415;0,02%;;
;AGANG SOUTH AFRICA;;;194;0,02%;;;392;0,04%;;586;0,03%;;;-;-;586;0,03%;;
;AZANIAN PEOPLE'S ORGANISATION;;;693;0,08%;;;543;0,06%;;1 236;0,07%;;;-;-;1 236;0,07%;;
;CHRISTIAN DEMOCRATIC PARTY;;;530;0,06%;;;506;0,06%;;1 036;0,06%;;;-;-;1 036;0,06%;;
;CONGRESS  OF THE PEOPLE;;;2 347;0,27%;;;1 975;0,22%;;4 322;0,24%;;;-;-;4 322;0,24%;;
;DEMOCRATIC ALLIANCE;;;381 146;43,20%;;;381 044;43,10%;;762 190;43,15%;;;-;-;762 190;43,15%;;
;ECONOMIC FREEDOM FIGHTERS;;;102 511;11,62%;;;102 895;11,64%;;205 406;11,63%;;;-;-;205 406;11,63%;;
;FORUM 4 SERVICE DELIVERY;;;194;0,02%;;;360;0,04%;;554;0,03%;;;-;-;554;0,03%;;
;INDEPENDENT;;;5 185;0,59%;;;-;-;;5 185;0,29%;;;-;-;5 185;0,29%;;
;INKATHA FREEDOM PARTY;;;220;0,02%;;;862;0,10%;;1 082;0,06%;;;-;-;1 082;0,06%;;
;MOVEMENT DEMOCRATIC PARTY;;;25;0,00%;;;79;0,01%;;104;0,01%;;;-;-;104;0,01%;;
;PAN AFRICANIST CONGRESS OF AZANIA;;;1 767;0,20%;;;1 269;0,14%;;3 036;0,17%;;;-;-;3 036;0,17%;;
;PATRIOTIC ALLIANCE;;;421;0,05%;;;781;0,09%;;1 202;0,07%;;;-;-;1 202;0,07%;;
;UNITED CHRISTIAN DEMOCRATIC PARTY;;;48;0,01%;;;-;-;;48;0,00%;;;-;-;48;0,00%;;
;UNITED DEMOCRATIC MOVEMENT;;;889;0,10%;;;1 157;0,13%;;2 046;0,12%;;;-;-;2 046;0,12%;;
;UNITED FRONT OF CIVICS;;;79;0,01%;;;184;0,02%;;263;0,01%;;;-;-;263;0,01%;;
;VRYHEIDSFRONT PLUS;;;17 789;2,02%;;;17 421;1,97%;;35 210;1,99%;;;-;-;35 210;1,99%;;
;Total Valid Votes;;;882 274;100,00%;;;884 093;100,00%;;1 766 367;100,00%;;;-;-;1 766 367;100,00%;;
;Total Spoilt Votes;;;10 193;;;;10 224;;;20 417;;;;0;;20 417;;;
;Total Votes Cast;;;892 467;;;;894 317;;;1 786 784;;;;0;;1 786 784;;;
;Total Voter Turnout;;;;;;;;;;896 973;;;;;;;;;
