Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AFRICAN CHRISTIAN ALLIANCE-AFRIKANER CHRISTEN ALLIANSIE,1,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AFRICAN CHRISTIAN DEMOCRATIC PARTY,6,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AFRICAN MANDATE CONGRESS,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AFRICAN NATIONAL CONGRESS,133,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AFRICAN PEOPLE'S CONVENTION,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AFRICAN PEOPLE'S SOCIALIST PARTY,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AGANG SOUTH AFRICA,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,AZANIAN PEOPLE'S ORGANISATION,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,CHRISTIAN DEMOCRATIC PARTY,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,CONGRESS  OF THE PEOPLE,1,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,DEMOCRATIC ALLIANCE,1056,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,ECONOMIC FREEDOM FIGHTERS,33,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,FORUM 4 SERVICE DELIVERY,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,INKATHA FREEDOM PARTY,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,MOVEMENT DEMOCRATIC PARTY,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,PAN AFRICANIST CONGRESS OF AZANIA,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,PATRIOTIC ALLIANCE,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,UNITED DEMOCRATIC MOVEMENT,1,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,UNITED FRONT OF CIVICS,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,PR,9,VRYHEIDSFRONT PLUS,127,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,Ward,12,AFRICAN CHRISTIAN ALLIANCE-AFRIKANER CHRISTEN ALLIANSIE,0,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,Ward,12,AFRICAN CHRISTIAN DEMOCRATIC PARTY,7,8/11/2016 4:10:05 PM
Gauteng,TSH - Tshwane Metro,Ward 79900001,32950021,LAERSKOOL GENL NICOLAAS SMIT,2818,Ward,12,AFRICAN MANDATE CONGRESS,0,8/11/2016 4:10:05 PM
