;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;Voter Turnout Report;;;;;;;;;;;
;;;;;Printed on: 2011/05/26 16:33:44;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Electoral Event:;Local Government Elections 2011;;;;;;;;
;;;;;;Province:;Gauteng;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Municipality:;TSH - Tshwane Metro [Pretoria];;;;;;;;
;;;;;;Ward:;All Wards;;;;;;;;
;;;;;;;;;;;;;;;
;All information in the report pertains to audited VDs.;;;;;;;;;;;;;;
;Voter Turnout = Highest of either Ward or PR Total Votes Cast.;;;;;;;;;;;;;;
;% Voter Turnout = (Highest of either Ward and PR Total Votes Cast) / (Registered Population + MEC7 Votes) * 100.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Ward;;;;;"Registered 
Voters";;"MEC7
Votes";"Voter
Turnout";;;"% Voter
Turnout";;;
;79900001;;;;;13 942;;3;9 231;;;66,20%;;;
;79900002;;;;;11 607;;44;7 899;;;67,80%;;;
;79900003;;;;;13 607;;29;6 702;;;49,15%;;;
;79900004;;;;;14 364;;32;7 152;;;49,68%;;;
;79900005;;;;;13 155;;44;9 415;;;71,33%;;;
;79900006;;;;;10 289;;15;5 476;;;53,14%;;;
;79900007;;;;;12 149;;107;6 444;;;52,58%;;;
;79900008;;;;;12 169;;3;6 503;;;53,43%;;;
;79900009;;;;;14 518;;108;9 099;;;62,21%;;;
;79900010;;;;;11 652;;0;5 369;;;46,08%;;;
;79900011;;;;;10 874;;138;6 257;;;56,82%;;;
;79900012;;;;;13 046;;29;6 044;;;46,23%;;;
;79900013;;;;;10 603;;0;6 090;;;57,44%;;;
;79900014;;;;;11 123;;8;6 609;;;59,37%;;;
;79900015;;;;;12 332;;12;6 707;;;54,33%;;;
;79900016;;;;;12 652;;7;6 469;;;51,10%;;;
;79900017;;;;;14 505;;18;7 467;;;51,41%;;;
;79900018;;;;;12 497;;22;6 675;;;53,32%;;;
;79900019;;;;;13 290;;11;8 174;;;61,45%;;;
;79900020;;;;;14 221;;18;7 133;;;50,09%;;;
;79900021;;;;;14 011;;43;6 837;;;48,65%;;;
;79900022;;;;;11 692;;3;5 789;;;49,50%;;;
;79900023;;;;;11 110;;9;5 571;;;50,10%;;;
;79900024;;;;;13 771;;42;7 794;;;56,43%;;;
;79900025;;;;;14 119;;11;8 161;;;57,76%;;;
;79900026;;;;;11 378;;48;6 819;;;59,68%;;;
;79900027;;;;;11 092;;52;6 244;;;56,03%;;;
;79900028;;;;;12 241;;9;6 422;;;52,42%;;;
;79900029;;;;;10 460;;23;5 979;;;57,04%;;;
;79900030;;;;;13 359;;91;7 387;;;54,92%;;;
;79900031;;;;;13 967;;39;7 271;;;51,91%;;;
;79900032;;;;;12 888;;4;6 327;;;49,08%;;;
;79900033;;;;;11 120;;4;6 182;;;55,57%;;;
;79900034;;;;;13 065;;108;6 598;;;50,09%;;;
;79900035;;;;;11 104;;63;5 025;;;45,00%;;;
;79900036;;;;;13 144;;56;6 417;;;48,61%;;;
;79900037;;;;;12 883;;169;7 282;;;55,79%;;;
;79900038;;;;;12 191;;0;4 481;;;36,76%;;;
;79900039;;;;;11 500;;134;6 316;;;54,29%;;;
;79900040;;;;;13 764;;140;7 249;;;52,14%;;;
;79900041;;;;;12 641;;17;7 862;;;62,11%;;;
;79900042;;;;;12 043;;35;7 992;;;66,17%;;;
;79900043;;;;;11 843;;36;6 317;;;53,18%;;;
;79900044;;;;;13 587;;4;9 071;;;66,74%;;;
;79900045;;;;;10 041;;109;6 895;;;67,93%;;;
;79900046;;;;;11 861;;19;7 822;;;65,84%;;;
;79900047;;;;;11 858;;45;7 802;;;65,55%;;;
;79900048;;;;;13 625;;49;6 448;;;47,16%;;;
;79900049;;;;;13 320;;2;6 748;;;50,65%;;;
;79900050;;;;;15 597;;6;10 417;;;66,76%;;;
;79900051;;;;;14 222;;78;6 934;;;48,49%;;;
;79900052;;;;;13 517;;0;9 895;;;73,20%;;;
;79900053;;;;;12 525;;14;8 172;;;65,17%;;;
;79900054;;;;;14 033;;34;9 907;;;70,43%;;;
;79900055;;;;;11 737;;27;7 434;;;63,19%;;;
;79900056;;;;;12 390;;24;6 180;;;49,78%;;;
;79900057;;;;;14 532;;40;8 954;;;61,45%;;;
;79900058;;;;;14 400;;26;5 658;;;39,22%;;;
;79900059;;;;;10 482;;14;4 625;;;44,06%;;;
;79900060;;;;;11 957;;3;5 266;;;44,03%;;;
;79900061;;;;;14 430;;67;7 305;;;50,39%;;;
;79900062;;;;;13 611;;69;7 239;;;52,92%;;;
;79900063;;;;;11 844;;25;5 292;;;44,59%;;;
;79900064;;;;;15 020;;0;10 287;;;68,49%;;;
;79900065;;;;;10 207;;73;6 894;;;67,06%;;;
;79900066;;;;;13 850;;180;7 183;;;51,20%;;;
;79900067;;;;;10 905;;1;5 227;;;47,93%;;;
;79900068;;;;;13 881;;18;7 248;;;52,15%;;;
;79900069;;;;;15 076;;63;9 976;;;65,90%;;;
;79900070;;;;;14 436;;17;9 509;;;65,79%;;;
;79900071;;;;;14 482;;33;6 264;;;43,16%;;;
;79900072;;;;;11 006;;56;4 873;;;44,05%;;;
;79900073;;;;;14 364;;0;7 399;;;51,51%;;;
;79900074;;;;;12 342;;0;6 103;;;49,45%;;;
;79900075;;;;;13 350;;8;6 208;;;46,47%;;;
;79900076;;;;;11 606;;2;6 419;;;55,30%;;;
;79900077;;;;;17 238;;98;8 496;;;49,01%;;;
;79900078;;;;;11 454;;11;7 976;;;69,57%;;;
;79900079;;;;;14 559;;4;9 733;;;66,83%;;;
;79900080;;;;;12 497;;67;3 322;;;26,44%;;;
;79900081;;;;;11 172;;7;2 713;;;24,27%;;;
;79900082;;;;;12 429;;67;8 458;;;67,69%;;;
;79900083;;;;;11 285;;47;7 256;;;64,03%;;;
;79900084;;;;;11 963;;17;7 896;;;65,91%;;;
;79900085;;;;;14 601;;63;10 409;;;70,98%;;;
;79900086;;;;;13 450;;123;6 706;;;49,41%;;;
;79900087;;;;;12 102;;15;7 123;;;58,79%;;;
;79900088;;;;;13 503;;4;7 152;;;52,95%;;;
;79900089;;;;;12 807;;1;6 406;;;50,02%;;;
;79900090;;;;;11 573;;14;5 674;;;48,97%;;;
;79900091;;;;;13 773;;158;9 726;;;69,82%;;;
;79900092;;;;;11 466;;47;4 533;;;39,37%;;;
;79900093;;;;;12 062;;6;6 348;;;52,60%;;;
;79900094;;;;;10 613;;29;6 142;;;57,71%;;;
;79900095;;;;;10 715;;1;6 484;;;60,51%;;;
;79900096;;;;;11 491;;7;7 111;;;61,85%;;;
;79900097;;;;;12 435;;20;5 730;;;46,01%;;;
;79900098;;;;;12 353;;155;8 287;;;66,25%;;;
;79900099;;;;;11 358;;7;5 702;;;50,17%;;;
;79900100;;;;;12 763;;27;6 916;;;54,07%;;;
;79900101;;;;;12 163;;26;7 838;;;64,30%;;;
;79900102;;;;;12 732;;64;7 291;;;56,98%;;;
