;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;Voter Turnout Report;;;;;;;;;;
;;;;;Printed on: 2016/08/11 16:35:15;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Electoral Event:;LOCAL GOVERNMENT ELECTION 2016;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Province:;Gauteng;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Municipality:;TSH - Tshwane Metro;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Ward:;All Wards;;;;;;;
;;;;;;;;;;;;;;
;All information in the report pertains to audited VDs.;;;;;;;;;;;;;
;Voter Turnout = Highest of either Ward or PR Total Votes Cast.;;;;;;;;;;;;;
;% Voter Turnout = (Highest of either Ward and PR Total Votes Cast) / (Registered Population + MEC7 Votes) * 100.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Ward;;;;;"Registered 
Voters";;"MEC7
Votes";"Voter
Turnout";;;"% Voter
Turnout";;
;79900001;;;;;14 831;;32;9 490;;;63,85%;;
;79900002;;;;;14 620;;132;9 808;;;66,49%;;
;79900003;;;;;15 734;;23;8 662;;;54,97%;;
;79900004;;;;;16 012;;10;9 606;;;59,96%;;
;79900005;;;;;16 747;;5;12 165;;;72,62%;;
;79900006;;;;;12 527;;1;6 859;;;54,75%;;
;79900007;;;;;13 382;;30;7 849;;;58,52%;;
;79900008;;;;;13 022;;7;6 992;;;53,66%;;
;79900009;;;;;12 880;;7;7 477;;;58,02%;;
;79900010;;;;;16 238;;15;7 711;;;47,44%;;
;79900011;;;;;13 903;;35;7 813;;;56,06%;;
;79900012;;;;;11 957;;13;5 940;;;49,62%;;
;79900013;;;;;12 984;;8;7 428;;;57,17%;;
;79900014;;;;;13 399;;0;7 524;;;56,15%;;
;79900015;;;;;17 138;;17;9 837;;;57,34%;;
;79900016;;;;;13 757;;23;7 691;;;55,81%;;
;79900017;;;;;13 589;;53;6 633;;;48,62%;;
;79900018;;;;;13 171;;5;7 481;;;56,78%;;
;79900019;;;;;14 162;;4;8 455;;;59,69%;;
;79900020;;;;;14 890;;2;8 053;;;54,08%;;
